timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687779896248,140,/books/bookId,404,Not Found,SimpleBooksApi - run 1-1,text,false,"Test failed: code expected something using /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/	Test failed: code expected something using /

****** received  : [[[404]]]

****** comparison: [[[201]]]

/	Test failed: code expected something using /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/	",250,300,1,1,https://simple-books-api.glitch.me/books/bookId,140,0,0
1687779896392,123,/books/bookId,404,Not Found,SimpleBooksApi - run 1-1,text,false,"Test failed: code expected something using /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/	Test failed: code expected something using /

****** received  : [[[404]]]

****** comparison: [[[201]]]

/	Test failed: code expected something using /

****** received  : [[[4]]]04

****** comparison: [[[2]]]04

/	",250,300,1,1,https://simple-books-api.glitch.me/books/bookId,123,0,0
1687779902942,21,/books,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,SimpleBooksApi - run 1-1,text,false,"Test failed: code expected something using /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[200                                             ]]]

/	Test failed: code expected something using /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[201                                             ]]]

/	Test failed: code expected something using /

****** received  : [[[Non HTTP response code: java.net.SocketException]]]

****** comparison: [[[204                                             ]]]

/	",2859,0,1,1,https://simple-books-api.glitch.me/books,0,0,0
